"Meaning","Kanji","OnyomiKun"
"one","一","ichi; itsu [hito-tsu; hito]"
"two","二","ni; ji [futa-tsu; futa]"
"three","三","san [mit-tsu; mitsu; mi]"
"four","四","shi [yot-tsu; yotsu; yon; yo]"
"five","五","go [itsu-tsu; itsu]"
"six","六","roku [mut-tsu; mutsu; mu; mui]"
"seven","七","shichi [nana-tsu; nana; nano]"
"eight","八","hachi [yat-tsu; yatsu; ya; you]"
"nine","九","ku; kyuu [kokono-tsu; kokono]"
"ten","十","juu; ji- (じっ = jixtsu) [too; to]"
"hundred","百","hyaku [(momo)]"
"thousand","千","sen [chi]"
"top","上","jou [ue; a-geru; a-garu; nobo-ru; kami; uwa]"
"below","下","ka; ge [shita; shimo; sa-geru; sa-garu; kuda-ru; kuda-su; kuda-saru; o-rosu; o-riru]"
"left","左","sa [hidari]"
"right","右","u; yuu [migi]"
"inside; middle","中","chuu; juu [naka]"
"large","大","dai; tai [oo-kii; oo-ini]"
"small","小","shou [chii-sai; ko; o]"
"month; moon","月","gatsu; getsu [tsuki]"
"day; sun","日","nichi; jitsu [hi; ka]"
"year","年","nen [toshi]"
"early","早","sou [haya-i; haya-meru; haya-maru]"
"tree","木","moku; boku [ki; ko]"
"woods","林","rin [hayashi]"
"mountain","山","san [yama]"
"river","川","(sen) [kawa]"
"soil","土","do; to [tsuchi]"
"sky","空","kuu [sora; a-ku a-keru; kara]"
"rice paddy","田","den [ta]"
"heaven; sky","天","ten [ama]"
"life","生","sei; shou [i-kiru; u-mu; u-mareru; nama; i-kasu; i-keru; ha-yasu; ha-eru]"
"flower","花","ka [hana]"
"grass","草","sou [kusa]"
"insect","虫","chuu [mushi]"
"dog","犬","ken [inu]"
"person","人","jin; nin [hito]"
"name","名","mei; myou [na]"
"female","女","jo; nyo [on’na]"
"male","男","dan; nan [otoko]"
"child","子","shi; su [ko]"
"eye","目","moku [me]"
"ear","耳","ji [mimi]"
"mouth","口","kou [kuchi]"
"hand","手","shu [te]"
"foot or leg","足","soku [ashi]"
"see","見","ken [mi-ru]"
"sound","音","on [ne; oto]"
"power","力","riki; ryoku [chikara]"
"spirit","気","ki; ke []"
"circle; yen","円","en [maru]"
"enter","入","nyuu [hai-ru; i-ru]"
"exit","出","shutsu [de-ru]"
"stand up","立","ritsu [ta-tsu]"
"rest","休","kyuu [yasu-mu]"
"previous","先","sen [saki]"
"evening","夕","seki [yuu]"
"book","本","hon [moto]"
"writing","文","bun; mon [fumi]"
"character","字","ji [aza]"
"study","学","gaku [mana-bu]"
"school","校","kou []"
"village","村","son [mura]"
"town","町","chou [machi]"
